year,rentaCuotas,retefuente,iva,timbreNacional,gmf,patrimonio,riqueza,alConsumo,gasolinaYACPM,alCarbono,cree,ivaExterno,arancel,porClasificar
1970,"5,419",539,"1,000",599,0,0,0,0,0,0,0,74,"3,681",0
1971,"6,122",818,"1,338",876,0,0,0,0,0,0,0,344,"4,045",0
1972,"6,862","1,159","1,447","1,040",0,0,0,0,0,0,0,548,"4,534",0
1973,"7,528","1,522","1,686","1,375",0,0,0,0,0,0,0,774,"6,156",0
1974,"8,996","2,139","2,555","1,791",0,0,0,0,0,0,0,"1,390","7,634",0
1975,"15,702","2,613","5,174","1,658",0,0,0,0,0,0,0,"2,584","9,479",0
1976,"10,950","9,819","6,497","1,748",0,0,0,0,0,0,0,"3,564","13,687",0
1977,"19,813","4,375","8,344","2,176",0,0,0,0,0,0,0,"5,107","19,037",0
1978,"25,063","5,614","11,151","2,876",0,0,0,0,0,0,0,"7,506","21,505",0
1979,"29,799","8,686","15,556","3,176",0,0,0,0,0,0,0,"9,342","25,477",0
1980,"35,143","13,175","18,758","4,969",0,0,0,0,0,0,0,"14,806","35,526",0
1981,"38,633","16,093","25,713","4,945",0,0,0,0,0,0,0,"17,159","37,535",0
1982,"46,655","21,215","33,536","6,615",0,0,0,0,0,0,0,"21,282","43,972",0
1983,"72,515","27,716","41,997","7,436",0,0,0,0,0,0,0,"21,357","42,845",0
1984,"81,860","38,979","62,269","11,027",0,0,0,0,0,0,0,"25,827","46,087",0
1985,"100,567","61,532","94,801","19,486",0,0,0,0,0,0,0,"40,758","90,415",0
1986,"124,243","98,358","126,040","24,926",0,0,0,0,0,0,0,"62,743","141,638",0
1987,"161,770","156,559","173,164","16,964",0,0,0,0,0,0,0,"91,559","241,266",0
1988,"205,014","221,915","228,690","19,077",0,0,0,0,0,0,0,"133,764","334,655",0
1989,"297,145","289,600","307,202","26,213",0,0,0,0,0,0,0,"161,477","400,102",0
1990,"433,768","388,745","411,482","33,789",0,0,0,0,0,0,0,"212,470","492,678",0
1991,"778,766","630,994","628,340","40,831",0,0,0,0,0,0,0,"275,308","418,231",0
1992,"745,607","1,100,714","894,653","55,565",0,0,0,0,0,0,0,"460,017","337,007",0
1993,"812,946","1,505,436","1,359,344","15,494",0,0,0,0,0,0,0,"901,757","545,489",0
1994,"1,035,281","1,775,169","1,801,397","86,477",0,0,0,0,0,0,0,"1,142,775","733,360","11,292"
1995,"1,149,129","2,334,430","2,218,156","129,584",0,0,0,0,0,0,0,"1,436,018","876,066","16,146"
1996,"1,292,721","2,753,982","3,412,537","148,854",0,0,0,0,0,0,0,"1,619,137","906,033","31,978"
1997,"1,845,332","3,633,544","4,010,276","233,157",0,0,0,0,0,0,0,"2,079,276","1,353,553","130,502"
1998,"1,641,863","4,419,149","4,512,718","317,176",0,0,0,0,0,0,0,"2,401,536","1,716,858","12,410"
1999,"2,105,943","4,594,462","4,934,015","336,548","880,692",0,0,0,0,0,0,"2,134,398","1,438,675","10,616"
2000,"2,474,471","5,052,493","5,789,589","402,693","1,036,744",0,0,0,0,0,0,"2,742,842","1,762,238","34,038"
2001,"3,969,717","6,291,509","7,322,402","420,749","1,437,359",0,0,0,0,0,0,"3,152,714","2,253,310","22,000"
2002,"3,635,357","7,224,636","7,951,042","433,977","1,408,101","1,250,722",0,0,0,0,0,"3,485,896","2,150,084","13,579"
2003,"4,129,479","8,412,194","9,672,157","511,537","1,621,500","1,227,934",0,0,0,0,0,"4,405,051","2,285,380","20,019"
2004,"6,546,626","9,408,708","11,010,806","574,710","2,237,595","454,012",0,0,0,0,0,"5,163,343","2,380,780","88,491"
2005,"7,923,954","10,615,016","12,184,699","673,406","2,401,226","474,219",0,0,0,0,0,"6,277,481","3,007,760","33,837"
2006,"9,842,101","12,577,012","14,129,093","791,208","2,668,946","536,233",0,0,0,0,0,"8,569,224","3,690,888","19,656"
2007,"10,222,033","14,519,613","17,059,745","863,928","2,989,522","1,232,681",0,0,0,0,0,"9,091,407","4,244,505","18,421"
2008,"10,140,964","16,525,925","18,857,401","809,376","3,199,639","3,320,867",0,0,0,0,0,"9,713,835","4,428,604","36,206"
2009,"13,510,157","17,183,499","19,454,512","646,812","3,121,278","2,238,618",0,0,0,0,0,"8,594,142","4,133,529","28,234"
2010,"9,419,571","18,695,875","21,664,560","357,159","3,224,922","2,235,367",0,0,0,0,0,"9,697,389","4,865,484","29,866"
2011,"12,532,261","22,287,811","25,106,967","123,923","5,069,606","4,447,798",0,0,0,0,0,"12,552,138","4,387,427","60,709"
2012,"21,996,893","23,732,148","26,544,725","58,973","5,468,351","4,391,723",0,0,0,0,0,"13,034,472","3,957,534","41,637"
2013,"20,981,535","25,377,769","25,266,408","59,711","5,897,755","4,456,463",0,"1,257,209","2,736,574",0,"2,959,828","12,069,786","4,236,603","143,166"
2014,"11,981,405","27,458,420","28,313,654","72,429","6,452,653","4,361,211",0,"1,744,718","2,980,883",0,"12,918,493","13,598,367","4,396,474","35,880"
2015,"10,691,838","30,690,570","29,598,672","105,729","6,741,442","165,697","5,379,092","1,824,553","3,418,956",0,"14,538,932","15,433,526","5,070,077","46,239"
